TP,q,Q,P,Object_name
2452865.469,1.246918534,4.96,5.47,306P/LINEAR
2455385.227,1.198390481,4.65,5.01,317P/WISE
2417536.077,1.208610867,45.97,114.56,C/1906 V1 (Thiele)
2422813.844,1.098349017,13.33,19.38,C/1921 H1 (Dubiago)
2443790.992,1.101417705,5.48,5.97,D/1978 R1 (Haneda-Campos)
2448445.695,0.982559471,26.62,51.28,C/1991 L3 (Levy)
2453318.081,0.049058228,6.15,5.46,P/1999 J6 (SOHO)
2452891.317,0.057012651,4.99,4.01,P/1999 R1 (SOHO)
2451453.843,1.231758765,5.82,6.62,P/1999 RO28 (LONEOS)
2453076.829,0.047951234,5.18,4.22,C/1999 X3 (SOHO)
2452348.706,0.99404788,25.61,48.5,C/2001 OG108 (LONEOS)
2452267.418,1.051064641,34.81,75.91,C/2001 W2 (BATTERS)
2452522.684,0.047401601,6.38,5.77,C/2002 R5 (SOHO)
2452538.404,0.04879857,6.4,5.79,P/2002 S7 (SOHO)
2455952.953,0.574839946,4.57,4.12,P/2003 T12 (SOHO)
2455248.548,0.986192006,5.23,5.48,P/2004 R1 (McNaught)
2453654.037,0.649399439,17.98,28.44,P/2005 T4 (SWAN)
2453697.986,0.05398036,6.03,5.31,P/2005 W4 (SOHO)
2454102.782,1.226427704,14.41,21.86,P/2006 HR30 (Siding Spring)
2454362.521,0.695862748,5.49,5.43,P/2007 T2 (Kowalski)
2454741.329,1.190641555,5.95,6.74,P/2008 S1 (Catalina-McNaught)
2454887.597,1.27197954,8.32,10.51,P/2008 Y1 (Boattini)
2454822.977,0.065413686,6.09,5.4,P/2008 Y12 (SOHO)
2454973.255,1.296125756,5.54,6.32,P/2009 L2 (Yang-Gao)
2455227.575,0.799955544,5.36,5.41,P/2009 WX51 (Catalina)
2455309.645,0.790900833,15.64,23.56,C/2010 L5 (WISE)
2455582.092,1.242925561,9.88,13.12,P/2011 NO1 (Elenin)
2455860.848,1.115118144,31.49,65.83,C/2011 S2 (Kowalski)
2456091.59,1.291890069,15.71,24.79,P/2012 NJ (La Sagra)
2456511.432,0.800147691,4.96,4.89,P/2013 CU129 (PANSTARRS)
2456706.719,1.117672075,6.09,6.84,P/2013 TL117 (Lemmon)
2456937.65,1.164298274,4.7,5.02,P/2014 U2 (Kowalski)
2457076.25,1.15385721,14.05,20.95,P/2015 A3 (PANSTARRS)
2457073.248,0.028321056,9.85,10.98,C/2015 D1 (SOHO)
2457141.343,1.209544218,63.13,182.45,C/2015 F2 (Polonia)
2457109.599,0.346005132,30.73,61.26,C/2015 F5 (SWAN-Xingming)
